institution,country,datasource,nPapers,nAuth,standardized name
"Paul Scherrer Inst, Villigen, Switzerland",Switzerland,Both,1064,245,Paul Scherrer Institute - PSI
"Univ Zurich, Zurich, Switzerland",Switzerland,Both,1041,234,University of Zurich - ZH
"CERN, European Org Nucl Res, Geneva, Switzerland",Switzerland,Both,493,1202,European Organization for Nuclear Research - CERN
"CERN, European Org Nucl Res, CH-1211 Geneva, Switzerland",Switzerland,Both,481,1074,European Org Nucl Res - CERN
"Swiss Fed Inst Technol, Inst Particle Phys & Astrophys IPA, Zurich, Switzerland",Switzerland,Both,338,147,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Inst Particle Phys, Zurich, Switzerland",Switzerland,Both,307,238,ETH Zurich - ETHZ
"Univ Basel, Dept Phys, Basel, Switzerland",Switzerland,WoS,302,6,University of Basel - BS
"ETH, Inst Particle Phys, Zurich, Switzerland",Switzerland,Both,291,169,ETH Zurich - ETHZ
"Ecole Polytech Fed Lausanne, CH-1015 Lausanne, Switzerland",Switzerland,Both,269,59,EPF Lausanne - EPFL
"European Org Nucl Res, CERN, Geneva, Switzerland",Switzerland,Both,247,734,"CERN, Geneva, Switzerland"
"European Org Nucl Res CERN, Geneva, Switzerland",Switzerland,Both,240,929,European Organization for Nuclear Research - CERN
"Univ Zurich, Zurich, Switzerland",Switzerland,WoS,194,106,University of Zurich - ZH
"Paul Scherrer Inst, Villigen, Switzerland",Switzerland,WoS,193,51,Paul Scherrer Institute - PSI
"CERN, Geneva, Switzerland",Switzerland,Both,190,900,"CERN, Geneva, Switzerland"
"CRPP, EPFL, CH-1015 Lausanne, Switzerland",Switzerland,WoS,179,12,EPF Lausanne - EPFL
"Novartis Pharma AG, Basel, Switzerland",Switzerland,Both,161,232,"Novartis Pharma AG, Basel, Switzerland!"
"Novartis Pharma AG, Basel, Switzerland",Switzerland,WoS,152,170,Novartis Pharma AG - Companies/ Private Industry - FP
"Paul Scherrer Institut, Villigen, Switzerland",Switzerland,Scopus,152,44,Paul Scherrer Institute - PSI
"CERN, European Organization for Nuclear Research, Geneva, Switzerland",Switzerland,Scopus,149,756,CERN
"Universität Zürich, Zurich, Switzerland",Switzerland,Scopus,144,73,University of Zurich - ZH
"WHO, Geneva, Switzerland",Switzerland,Both,136,186,"World Health Organization - WHO, Geneva, Switzerland"
"Univ Basel, Basel, Switzerland",Switzerland,Both,118,111,University of Basel - BS
"Ecole Polytech Fed Lausanne, Lausanne, Switzerland",Switzerland,Both,115,60,EPF Lausanne - EPFL
"Ecole Polytechnique Fédérale Lausanne, Lausanne, Switzerland",Switzerland,Scopus,114,5,EPF Lausanne - EPFL
"CERN, CH-1211 Geneva 23, Switzerland",Switzerland,Both,112,390,European Organization for Nuclear Research - CERN
"CERN, European Org Nucl Res, CH-1211 Geneva, Switzerland",Switzerland,WoS,111,645,European Org Nucl Res - CERN
"CERN, European Org Nucl Res, Geneva, Switzerland",Switzerland,WoS,110,451,European Organization for Nuclear Research - CERN
"European Organization for Nuclear Research (CERN), Geneva, Switzerland",Switzerland,Scopus,102,305,European Organization for Nuclear Research (CERN)
"Swiss Plasma Ctr, EPFL, CH-1015 Lausanne, Switzerland",Switzerland,WoS,102,26,EPF Lausanne - EPFL
"Univ Geneva, Sect Phys, Geneva, Switzerland",Switzerland,Both,94,110,University of Geneva - GE
"Univ Bern, High Energy Phys Lab, Bern, Switzerland",Switzerland,Both,92,40,University of Berne - BE
"Univ Bern, Albert Einstein Ctr Fundamental Phys, Bern, Switzerland",Switzerland,Both,91,40,University of Berne - BE
"Univ Zurich, Phys Inst, Winterthurerstr 190, CH-8057 Zurich, Switzerland",Switzerland,Both,88,26,University of Zurich - ZH
"Paul Scherrer Inst, CH-5232 Villigen, Switzerland",Switzerland,Both,78,116,Paul Scherrer Institute - PSI
"Swiss Fed Inst Technol, Inst Particle Phys & Astrophys IPA, Zurich, Switzerland",Switzerland,WoS,76,81,ETH Zurich - ETHZ
"World Health Organization, Geneva, Switzerland",Switzerland,Scopus,76,128,"World Health Organization, Geneva, Switzerland"
"ETH, Inst Particle Phys, Zurich, Switzerland",Switzerland,WoS,74,120,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, Dept Phys, Wolfgang Pauli Str 16, CH-8093 Zurich, Switzerland",Switzerland,Both,74,19,ETH Zurich - ETHZ
"Swiss Fed Inst Technol, CH-8093 Zurich, Switzerland",Switzerland,Both,73,71,ETH Zurich - ETHZ
"Universität Bern, Bern, Switzerland",Switzerland,Scopus,68,5,University of Berne - BE
"Swiss Fed Inst Technol, Zurich, Switzerland",Switzerland,Both,67,83,ETH Zurich - ETHZ
"CERN, Geneva, Switzerland",Switzerland,WoS,66,359,European Organization for Nuclear Research - CERN
"Swiss Trop & Publ Hlth Inst, Basel, Switzerland",Switzerland,Both,60,53,Swiss Tropical and Public Health Institute - SWISSTPH Basel!
