broad_category,research_area,analysis_group
Arts & Humanities ,Architecture,none
Arts & Humanities ,Art,none
Arts & Humanities ,Arts & Humanities - Other Topics,none
Arts & Humanities ,Asian Studies,none
Arts & Humanities ,Classics,none
Arts & Humanities ,Dance,none
Arts & Humanities ,"Film, Radio & Television",none
Arts & Humanities ,History,none
Arts & Humanities ,History & Philosophy of Science,none
Arts & Humanities ,Literature,none
Arts & Humanities ,Music,none
Arts & Humanities ,Philosophy,none
Arts & Humanities ,Religion,none
Arts & Humanities ,Theater,none
Life Sciences & Biomedicine ,Agriculture,none
Life Sciences & Biomedicine ,Allergy,none
Life Sciences & Biomedicine ,Anatomy & Morphology,none
Life Sciences & Biomedicine ,Anesthesiology,none
Life Sciences & Biomedicine ,Anthropology,none
Life Sciences & Biomedicine ,Audiology & Speech-Language Pathology,none
Life Sciences & Biomedicine ,Behavioral Sciences,none
Life Sciences & Biomedicine ,Biochemistry & Molecular Biology,none
Life Sciences & Biomedicine ,Biodiversity & Conservation,none
Life Sciences & Biomedicine ,Biophysics,none
Life Sciences & Biomedicine ,Biotechnology & Applied Microbiology,none
Life Sciences & Biomedicine ,Cardiovascular System & Cardiology,none
Life Sciences & Biomedicine ,Cell Biology,none
Life Sciences & Biomedicine ,Critical Care Medicine,none
Life Sciences & Biomedicine ,"Dentistry, Oral Surgery & Medicine",none
Life Sciences & Biomedicine ,Dermatology,none
Life Sciences & Biomedicine ,Developmental Biology,none
Life Sciences & Biomedicine ,Emergency Medicine,none
Life Sciences & Biomedicine ,Endocrinology & Metabolism,none
Life Sciences & Biomedicine ,Entomology,none
Life Sciences & Biomedicine ,Environmental Sciences & Ecology,none
Life Sciences & Biomedicine ,Evolutionary Biology,none
Life Sciences & Biomedicine ,Fisheries,none
Life Sciences & Biomedicine ,Food Science & Technology,none
Life Sciences & Biomedicine ,Forestry,none
Life Sciences & Biomedicine ,Gastroenterology & Hepatology,none
Life Sciences & Biomedicine ,General & Internal Medicine,none
Life Sciences & Biomedicine ,Genetics & Heredity,none
Life Sciences & Biomedicine ,Geriatrics & Gerontology,none
Life Sciences & Biomedicine ,Health Care Sciences & Services,none
Life Sciences & Biomedicine ,Hematology,none
Life Sciences & Biomedicine ,Immunology,none
Life Sciences & Biomedicine ,Infectious Diseases,none
Life Sciences & Biomedicine ,Integrative & Complementary Medicine,none
Life Sciences & Biomedicine ,Legal Medicine,none
Life Sciences & Biomedicine ,Life Sciences & Biomedicine - Other Topics,none
Life Sciences & Biomedicine ,Marine & Freshwater Biology,none
Life Sciences & Biomedicine ,Mathematical & Computational Biology,none
Life Sciences & Biomedicine ,Medical Ethics,none
Life Sciences & Biomedicine ,Medical Informatics,none
Life Sciences & Biomedicine ,Medical Laboratory Technology,none
Life Sciences & Biomedicine ,Microbiology,none
Life Sciences & Biomedicine ,Mycology,none
Life Sciences & Biomedicine ,Neurosciences & Neurology,none
Life Sciences & Biomedicine ,Nursing,none
Life Sciences & Biomedicine ,Nutrition & Dietetics,none
Life Sciences & Biomedicine ,Obstetrics & Gynecology,none
Life Sciences & Biomedicine ,Oncology,none
Life Sciences & Biomedicine ,Ophthalmology,none
Life Sciences & Biomedicine ,Orthopedics,none
Life Sciences & Biomedicine ,Otorhinolaryngology,none
Life Sciences & Biomedicine ,Paleontology,none
Life Sciences & Biomedicine ,Parasitology,none
Life Sciences & Biomedicine ,Pathology,none
Life Sciences & Biomedicine ,Pediatrics,none
Life Sciences & Biomedicine ,Pharmacology & Pharmacy,none
Life Sciences & Biomedicine ,Physiology,none
Life Sciences & Biomedicine ,Plant Sciences,none
Life Sciences & Biomedicine ,Psychiatry,none
Life Sciences & Biomedicine ,"Public, Environmental & Occupational Health",none
Life Sciences & Biomedicine ,"Radiology, Nuclear Medicine & Medical Imaging",none
Life Sciences & Biomedicine ,Rehabilitation,none
Life Sciences & Biomedicine ,Reproductive Biology,none
Life Sciences & Biomedicine ,Research & Experimental Medicine,none
Life Sciences & Biomedicine ,Respiratory System,none
Life Sciences & Biomedicine ,Rheumatology,none
Life Sciences & Biomedicine ,Sport Sciences,none
Life Sciences & Biomedicine ,Substance Abuse,none
Life Sciences & Biomedicine ,Surgery,none
Life Sciences & Biomedicine ,Toxicology,none
Life Sciences & Biomedicine ,Transplantation,none
Life Sciences & Biomedicine ,Tropical Medicine,none
Life Sciences & Biomedicine ,Urology & Nephrology,none
Life Sciences & Biomedicine ,Veterinary Sciences,none
Life Sciences & Biomedicine ,Virology,none
Life Sciences & Biomedicine ,Zoology,none
Physical Sciences ,Astronomy & Astrophysics,none
Physical Sciences ,Chemistry,none
Physical Sciences ,Crystallography,none
Physical Sciences ,Electrochemistry,none
Physical Sciences ,Geochemistry & Geophysics,none
Physical Sciences ,Geology,none
Physical Sciences ,Mathematics,none
Physical Sciences ,Meteorology & Atmospheric Sciences,none
Physical Sciences ,Mineralogy,none
Physical Sciences ,Mining & Mineral Processing,none
Physical Sciences ,Oceanography,none
Physical Sciences ,Optics,none
Physical Sciences ,Physical Geography,none
Physical Sciences ,Physics,none
Physical Sciences ,Polymer Science,none
Physical Sciences ,Thermodynamics,none
Physical Sciences ,Water Resources,none
Social Sciences ,Archaeology,none
Social Sciences ,Area Studies,none
Social Sciences ,Biomedical Social Sciences,none
Social Sciences ,Business & Economics,none
Social Sciences ,Communication,none
Social Sciences ,Criminology & Penology,none
Social Sciences ,Cultural Studies,none
Social Sciences ,Demography,none
Social Sciences ,Development Studies,none
Social Sciences ,Education & Educational Research,none
Social Sciences ,Ethnic Studies,none
Social Sciences ,Family Studies,none
Social Sciences ,Geography,none
Social Sciences ,Government & Law,none
Social Sciences ,International Relations,none
Social Sciences ,Linguistics,none
Social Sciences ,Mathematical Methods In Social Sciences,none
Social Sciences ,Psychology,none
Social Sciences ,Public Administration,none
Social Sciences ,Social Issues,none
Social Sciences ,Social Sciences - Other Topics,none
Social Sciences ,Social Work,none
Social Sciences ,Sociology,none
Social Sciences ,Urban Studies,none
Social Sciences ,Women's Studies,none
Technology ,Acoustics,none
Technology ,Automation & Control Systems,none
Technology ,Computer Science,none
Technology ,Construction & Building Technology,none
Technology ,Energy & Fuels,none
Technology ,Engineering,none
